;data;preco
248;2023-12-05;77,27
249;2023-12-04;78,16
250;2023-12-01;78,72
251;2023-11-30;81,72
252;2023-11-29;82,98
253;2023-11-28;81,66
254;2023-11-27;79,49
255;2023-11-24;79,82
256;2023-11-23;80,85
257;2023-11-22;81,76
258;2023-11-21;82,42
259;2023-11-20;83,25
260;2023-11-17;81,22
261;2023-11-16;77,73
262;2023-11-15;82,40
263;2023-11-14;84,20
264;2023-11-13;84,09
265;2023-11-10;83,66
266;2023-11-09;81,74
267;2023-11-08;81,46
268;2023-11-07;83,43
269;2023-11-06;87,31
270;2023-10-30;90,73
271;2023-10-27;90,73
272;2023-10-26;88,45
273;2023-10-25;90,14
274;2023-10-24;88,00
275;2023-10-23;91,88
276;2023-10-20;93,72
277;2023-10-19;93,12
278;2023-10-18;91,99
279;2023-10-17;92,52
280;2023-10-16;90,99
281;2023-10-13;94,33
282;2023-10-12;88,40
283;2023-10-11;87,58
284;2023-10-10;90,70
285;2023-10-09;91,37
286;2023-10-06;87,86
287;2023-10-05;88,28
288;2023-10-04;89,83
289;2023-10-03;94,46
290;2023-10-02;91,21
291;2023-09-29;95,86
292;2023-09-28;96,55
293;2023-09-27;97,10
294;2023-09-26;94,46
295;2023-09-25;94,01
296;2023-09-22;93,99
297;2023-09-21;93,70
298;2023-09-20;94,56
299;2023-09-19;96,11
300;2023-09-18;95,95
301;2023-09-15;95,55
302;2023-09-14;95,20
303;2023-09-13;93,04
304;2023-09-12;93,58
305;2023-09-11;91,97
306;2023-09-08;91,85
307;2023-09-07;91,16
308;2023-09-06;91,79
309;2023-09-05;91,25
310;2023-09-04;90,42
311;2023-08-31;87,29
312;2023-08-30;86,62
313;2023-08-29;86,37
314;2023-08-25;85,42
315;2023-08-24;84,07
316;2023-08-23;83,94
317;2023-08-22;84,70
318;2023-08-21;85,44
319;2023-08-18;85,92
320;2023-08-17;85,24
321;2023-08-16;84,49
322;2023-08-15;86,28
323;2023-08-14;87,40
324;2023-08-11;87,93
325;2023-08-10;87,44
326;2023-08-09;89,31
327;2023-08-08;88,00
328;2023-08-07;86,47
329;2023-08-04;87,38
330;2023-08-03;86,19
331;2023-08-02;84,01
332;2023-08-01;85,34
333;2023-07-31;85,22
334;2023-07-28;84,49
335;2023-07-27;84,28
336;2023-07-26;82,98
337;2023-07-25;83,46
338;2023-07-24;82,53
339;2023-07-21;81,06
340;2023-07-20;79,62
341;2023-07-19;79,38
342;2023-07-18;79,54
343;2023-07-17;77,80
344;2023-07-15;77,80
345;2023-07-14;79,90
346;2023-07-13;81,31
347;2023-07-12;80,35
348;2023-07-11;79,54
349;2023-07-10;77,83
350;2023-07-08;77,83
351;2023-07-07;78,77
352;2023-07-06;76,72
353;2023-07-05;76,74
354;2023-07-04;76,23
355;2023-07-03;74,52
356;2023-06-30;74,51
357;2023-06-29;73,86
358;2023-06-28;73,64
359;2023-06-27;71,88
360;2023-06-26;73,86
361;2023-06-23;73,56
362;2023-06-22;73,93
363;2023-06-21;76,92
364;2023-06-20;75,79
365;2023-06-19;76,09
366;2023-06-16;76,76
367;2023-06-15;75,75
368;2023-06-14;73,39
369;2023-06-13;74,24
370;2023-06-12;71,80
371;2023-06-09;74,74
372;2023-06-08;75,88
373;2023-06-07;76,85
374;2023-06-06;76,22
375;2023-06-05;76,61
376;2023-06-02;76,00
377;2023-06-01;74,18
378;2023-05-31;71,98
379;2023-05-30;73,38
380;2023-05-26;76,33
381;2023-05-25;75,66
382;2023-05-24;77,99
383;2023-05-23;76,66
384;2023-05-22;75,77
385;2023-05-19;75,42
